name,service_id,alternative_name,parent_service_type,service_type,alt_type,short_desc ,description ,outcomes,how_to_access,organization,service_area,audience,eligibility,documentation_required,facilities,languages,urls,emails,phones,hours_available,staff_contacts,fees,method_of_payment,funding_sources,wait,Source,Last Updated,Notes
Disaster Case Management Program,205,DCMP,Services,"Case Management, Disaster Relief Coordination",Recovery Programs,"An organized, effective long-term recovery process is needed when survivors’ personal resources, insurance, and government grants and loans are insufficient to meet their recovery needs. Potential clients should be referred to Disaster Case Management if they have disaster-caused needs not met by the referring organization’s program(s)","New York State, with funding from the FEMA, is providing disaster case management (DCM) services for New Yorkers with unmet needs arising from Hurricane Sandy.  Catholic Charities Community Services, Archdiocese of New York is managing the DCM program, as it did following Hurricanes Irene and Lee. The DCM program is designed to provide a locally based disaster case manager for New Yorkers with unmet needs related to Hurricane Sandy.  By funding a coordinated network of community-based agencies, New York State hopes to provide easy access to support for residents seeking help and to avoid duplication of services.  Catholic Charities is subcontracting with locally based not-for-profits to provide direct services through October 2014. Program Model - Offering information and referral services to clients that do not need, want, or qualify for DCM services; Accepting client inquiries by phone, in person by appointment or on a walk-in basis; Preparing a comprehensive assessment of client needs; Developing an outcomes-based individualized disaster recovery plan; Providing crisis intervention services where appropriate; Advocating to resolve unmet needs and to access available benefits and services; Maintaining ongoing contact with clients;Initiating or participating in case conferencing where needed with other service providers; Closing cases as appropriate, and referring clients with unmet needs to long term recovery committees in their communities.",local disaster case management ,"Call  211/311, the Catholic Charities SANDY Helpline (855-258-0483), or directly through DCM agencies a directory of which can be found here - http://www.catholiccharitiesny.org/get-help/disaster-relief-resources/ ","FEMA, NYS, Catholic Charities","Bronx, Kings, Nassau, New York, Orange, Putnam, Queens, Staten Island, Rockland, Suffolk, Sullivan, Ulster, and Westchester.","Disaster survivors, Social service seekers","In order to be eligible for the DCM program, a person must have an unmet need that arose from or was exacerbated by Hurricane Sandy.  Those who are ineligible for FEMA or other assistance programs are still eligible for the DCM program as long as they have a verifiable unmet need related to the storm.  
",,"1011 First Avenue, 11th Floor, New York, NY 10022",,http://www.catholiccharitiesny.org/get-help/disaster-relief-resources/,MaryEllen.Ros@archny.org;  helene.lauffer@archny.org; julianne.pannelli@archny.orgr; alfred.peck@archny.org; jacqueline.victoria-kline@archny.org; john.lent@archny.org; jared.schultz@archny.org,(855) 258-0483,,"Mary Ellen Ros, Director of Hudson Valley/Disaster Case Management Services,  Helene Lauffer, Program Director,  Julianne Pannelli, Program Manager/Training Coordinator,  Alfred Peck, Program Manager, Jacqueline Victoria-Kline, Program Manager, John Lent, CAN/Database Manager, Jared Schultz, CAN/Database Manager, ",,,,,New York Hurricane Sandy Disaster Recovery Resources,,311 or  the Catholic Charities Sandy Helpline 855-258-0483
NYC Build it Back,206,BIB,Services; Financial Assistance,Housing Assistance; Construction Assistance,Recovery Programs,The New York City Build It Back Program (BIB or the Program) provides assistance to New York City property owners whose properties were damaged by Hurricane Sandy.,"BIB has six options for assistance:
• Repair of a storm-damaged property
• Repair and elevation of a storm-damaged property
• Rebuilding of a severely storm-damaged or completely destroyed property
• Acquisition for Redevelopment/Buyout of a severely storm-damaged or completely destroyed property
• Relocation for applicants in certain geographic areas
• Reimbursement for out-of-pocket repair or rebuilding expenses","repair, rebuilding or relocation ",Visit http://www.nyc.gov/html/recovery/html/home/home.shtml,City of New York,New York City,"Renters, Home owners, Disaster Survivors",Eligibility requirements can be found here - http://www.nyc.gov/html/recovery/downloads/pdf/bib-applicant-guidebook-final-v1.0.pdf,,"10-01 Beach 20th Street; Far Rockaway NY 11691; 415 State Road, Breezy Point, NY, 11218; 3050 West 21st Street Coney Island, NY 11224; 1097 Bergen Ave; Brooklyn, NY 11234;
1976 Hylan Boulevard, Staten Island, NY 10306",,http://www.nyc.gov/html/recovery/html/home/home.shtml, housing@recovery.nyc.gov,(212) 615-8329 ,"9-5, Monday through Friday",,,,CDBG,,New York Hurricane Sandy Disaster Recovery Resources,,"Far Rockaway - 10-01 Beach 20th Street; Breezy Point - 415 State Rd; Coney Island -
NYC Human Resources Administration Center, 3050 West 21st St; Mill Basin -
1097 Bergen Ave; Staten Island East Shore -
1976 Hylan Blvd"
Temporary Disaster Assistance Program - NYC Build it Back,207,TDAP,Financial Assistance,Rental Assistance,Recovery Programs,"If you are a renter displaced by Hurricane Sandy, and your household income is less than 50% of the Area Median Income (AMI), you may be eligible for a temporary rental subsidy for up to 2 years.","Households are required to pay 30% of their income toward rent. Funding is extremely limited, and households currently residing in the city’s hotel system will be prioritized. Initial income eligibility will be determined through the central Build it Back 311 intake process. Income and other eligibility factors will be further reviewed and confirmed through the TDAP program at the Department of Housing Preservation and Development. 
",rental subsidy,Visit http://www.nyc.gov/html/recovery/html/renters/renters.shtml,City of New York,New York City,"Renters, Disaster Survivors","Renters displaced by Hurricane Sandy, wth household incomes less than 50% of the Area Median Income (AMI).","Documentation requirements for rental assistance include, but are not limited to: Proof of damage and displacement as a result of Hurricane Sandy; Confirmation that you have not already been offered placements through public housing or Section 8; Proof of income; Proof of pre-storm address; Documentation of vital records (date of birth, identity, social security)","10-01 Beach 20th Street; Far Rockaway NY 11691; 415 State Road, Breezy Point, NY, 11218; 3050 West 21st Street Coney Island, NY 11224; 1097 Bergen Ave; Brooklyn, NY 11234;
1976 Hylan Boulevard, Staten Island, NY 10306",,http://www.nyc.gov/html/recovery/html/renters/renters.shtml,housing@recovery.nyc.gov,(212) 615-8329,,,,,CDBG,,New York Hurricane Sandy Disaster Recovery Resources,,"Far Rockaway - 10-01 Beach 20th Street; Breezy Point - 415 State Rd; Coney Island -
NYC Human Resources Administration Center, 3050 West 21st St; Mill Basin -
1097 Bergen Ave; Staten Island East Shore -
1976 Hylan Blvd"
Housing Referral - NYC Build it Back,208,,Services,Housing Assistance,Recovery Programs,HPD is offering assistance with apartment referrals to low-income renter households (up to 80% AMI) who are displaced from their New York City homes as a result of Hurricane Sandy. Eligible households identified through the Build It Back 311 intake process may work with a housing placement coordinator who will provide referrals to owners and managers of available affordable apartments.,"If renters accept an apartment referral, HPD will send their name and contact information to the owner/manager, who will call the renter to schedule an interview. From that point on, the renter is responsible for all communication and coordination with owner/manager through move-in. A total of three referrals will be provided.",housing referrals,Visit http://www.nyc.gov/html/recovery/html/renters/renters.shtml,City of New York,New York City,"Renters, Disaster Survivors","Renters displaced by Hurricane Sandy, wth household incomes less than 80% of the Area Median Income (AMI).",,"10-01 Beach 20th Street; Far Rockaway NY 11691; 415 State Road, Breezy Point, NY, 11218; 3050 West 21st Street Coney Island, NY 11224; 1097 Bergen Ave; Brooklyn, NY 11234;
1976 Hylan Boulevard, Staten Island, NY 10306",,http://www.nyc.gov/html/recovery/html/renters/renters.shtml,housing@recovery.nyc.gov,(212) 615-8329,,,,,CDBG,,New York Hurricane Sandy Disaster Recovery Resources,,"Far Rockaway - 10-01 Beach 20th Street; Breezy Point - 415 State Rd; Coney Island -
NYC Human Resources Administration Center, 3050 West 21st St; Mill Basin -
1097 Bergen Ave; Staten Island East Shore -
1976 Hylan Blvd"
Urban Edge - NYC Build it Back,209,,Services,Housing Assistance,Recovery Programs,"The City has worked with the independent real estate website, Urban Edge, to provide short term listings for displaced Sandy renters. You may also search their database of long term options, which includes landlords who have expressed a desire to work with displaced Sandy renters. More information is available here - http://www.urbanedgeny.com/hurricane-sandy-temporary-housing-for-rent",,housing referrals,Visit http://www.urbanedgeny.com/hurricane-sandy-temporary-housing-for-rent,City of New York,New York City,"Renters, Disaster Survivors",All renters displaced by Sandy,,"10-01 Beach 20th Street; Far Rockaway NY 11691; 415 State Road, Breezy Point, NY, 11218; 3050 West 21st Street Coney Island, NY 11224; 1097 Bergen Ave; Brooklyn, NY 11234;
1976 Hylan Boulevard, Staten Island, NY 10306",,http://www.urbanedgeny.com/hurricane-sandy-temporary-housing-for-rent,housing@recovery.nyc.gov,(212) 615-8329,,,,,CDBG,,New York Hurricane Sandy Disaster Recovery Resources,,"Far Rockaway - 10-01 Beach 20th Street; Breezy Point - 415 State Rd; Coney Island -
NYC Human Resources Administration Center, 3050 West 21st St; Mill Basin -
1097 Bergen Ave; Staten Island East Shore -
1976 Hylan Blvd"
Housing Lotteries - HPD,210,,Services,Housing Assistance,Recovery Programs,"HPD hosts lotteries for affordable housing developments, both rental and ownership, across the city. Different buildings have different income requirements, and you must qualify under the project-specific requirements. For a list of current lotteries, please see:http://www.nyc.gov/html/hpd/html/apartment/lotteries.shtml or http://www.nyc.gov/housingconnect ",,lotteries for affordable housing,"For a list of current lotteries, please see:http://www.nyc.gov/html/hpd/html/apartment/lotteries.shtml  or http://www.nyc.gov/housingconnect ",City of New York,New York City,"Individuals, Families, Low Income, Moderate Income","Different buildings have different income requirements, and you must qualify under the project-specific requirements. ",,,,http://www.nyc.gov/html/hpd/html/apartment/lotteries.shtml http://www.nyc.gov/housingconnect ,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
The Salvation Army of Greater New York Hurricane Sandy Recovery Program ,211,,Services,Disaster Relief Coordination,Recovery Programs,"As of June 1, 2013, The Salvation Army transitioned into long term recovery.  Its recovery program is providing Disaster Case Management tied to repair/rebuild projects on both Long Island and in Far Rockaway.  The Salvation Army is also an independent donor at all of the Unmet Needs Round Tables in NYC and Long Island. "," Community 'resource projects' are also being created to fill specific resource gaps, working with and through the DCM sub-committees of all the Long Term Recovery Groups.  TSA is active in leadership roles and as members of NYC VOAD, LI VOAD, and the community-based Long Term Recovery Groups.",long term recovery programs,See https://www.use.salvationarmy.org/use/www_use_GNYD.nsf/vw-dynamic-index/73044950479E7BAE85257B09006F799A?Opendocument,Salvation Army,"New York City, Long Island",Disaster Survivors,,,,,https://www.use.salvationarmy.org/use/www_use_GNYD.nsf/vw-dynamic-index/73044950479E7BAE85257B09006F799A?Opendocument,,(212) 337-7339; (718) 448-8480; (516) 478-4166,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,NYC: (212) 337-7339; Staten Island: (718) 448-8480; Long Island: (516) 478-4166
NYC Business Solutions - NYC Hurricane Sandy Loan & Grant Program,212,,Assistance for Organizations,Small Business Financial Assistance,Small Businesses ,"As part of the City of New York’s ongoing effort to assist New York City businesses damaged by Hurricane Sandy, a new loan and grant program has been made available.","Loans of up to $150,000 will be made available to borrowers that experienced direct damage as a result of the storm and demonstrate an ability to repay the loan. Matching grants of up to $60,000 are also available. Applicants that demonstrate need exceeding these amounts may be eligible for loans up to $1 million and grants up to $100,000 as determined by the City and according to program priorities",assistance for small businesses damaged by Hurricane Sandy,Applications must be submitted through an NYC Business Solutions Account Manager. Account Managers are also available to help businesses complete the application and related required documents. Visit nyc.gov/nycbusiness or call 311,NYC Business Solutions,New York City,"Small business owners, Disaster Survivors","The Hurricane Sandy Business Loan & Grant Program is for independently owned businesses that:
(1) Are a for-profit business paying taxes and located in New York City
(2) Were in existence on or prior to October 27, 2012
(3) Are small businesses as defined by the U.S. Small Business Administration
(4) Have at least one location that has experienced loss, damage, and/or interruption as a result of Hurricane Sandy",,"400 East Fordham Road, 7th Floor, Bronx, NY 10458; 9 Bond Street, 5th Floor, Brooklyn, NY 11201; 79 John Street, New York, NY 10038; 168-25 Jamaica Avenue, 2nd Floor, Jamaica, NY 11432; 120 Stuyvesant Place, 3rd Floor, Staten Island, NY 10301; 361 West 125th Street, 2nd Floor, New York, NY 10027; 560 West 181st Street, 2nd Floor, New York, NY 10033",,http://www.nyc.gov/html/sbs/nycbiz/downloads/pdf/home/NYCBusinessRecoveryLoan_FAQ.pdf,,311,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Bronx Center - 400 E. Fordham Rd., 7th Fl.
Bronx, NY 10458; Brooklyn Center - 9 Bond St., 5th Fl.
Brooklyn, NY 11201; Lower Manhattan Center - 79 John St.
New York, NY 10038; Queens Center - 168-25 Jamaica Ave., 2nd Fl.
Jamaica, NY 11432; Staten Island Center - 120 Stuyvesant Pl., 3rd Fl - Staten Island, NY 10301; Upper Manhattan Center - 361 W. 125th St., 2nd Fl. New York, NY 10027; Washington Heights Center - 560 W. 181st St., 2nd Fl. New York, NY 10033"
Empire State Development Agency - Division for Small Businesses,213,,Assistance for Organizations,Small Business Financial Assistance,Small Businesses,Empire State Development’s Division for Small Business is established in New York State Economic Development Law to  represent the interests of small businesses and to support  the development and expansion of small businesses with under 100 employees,The division offers both technical assistance and financial assistance. See here - http://www.empire.state.ny.us/SmallBusiness/AboutUs.html,services for small businesses,Visit http://www.empire.state.ny.us/SmallBusiness/AboutUs.html,Empire State Development Agency ,New York State,Small business owners,,,"633 Third Avenue, 33rd Floor, New York, NY 10017",,http://www.empire.state.ny.us/SmallBusiness/AboutUs.html,,(800) 782-8369,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Hurricane Sandy Business Recovery Information Booklet,214,,Assistance for Organizations,Resources for Small Businesses,Small Businesses,"The City of New York is coordinating various programs and services to help businesses impacted by Hurricane Sandy. These programs include emergency loans, matching grants and a fee waiver program. Additional resources include assistance with permits and inspections as well as employee assistance programs. The booklet below provides information on all of these resources and more. 
",http://www.nyc.gov/html/sbs/nycbiz/downloads/pdf/home/HurricaneSandy_BusinessRecoveryInfo.pdf ,services for small businesses,Visit http://www.nyc.gov/html/sbs/nycbiz/downloads/pdf/home/HurricaneSandy_BusinessRecoveryInfo.pdf ,NYC Small Business Services,New York City,"Small business owners, Disaster Survivors",,,,,http://www.nyc.gov/html/sbs/nycbiz/downloads/pdf/home/HurricaneSandy_BusinessRecoveryInfo.pdf,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Economic Development Corporation -  NYC Business Recovery & Resiliency ,215,NYCEDC,Assistance for Organizations,Resources for Small Businesses,Small Businesses,"NYCEDC, together with partners in the City of New York, is implementing programs to provide communities with resources to address a wide range 
of business and economic development needs following Hurricane Sandy. ","The NYC Business Recovery & Resiliency programs include low-interest
 loans and expedited grants, funding opportunities for flood protection 
measures and innovative technologies that improve resiliency, and other 
critical community and development efforts to foster economic growth.",services for small businesses,Visit http://www.nycedc.com/service/programs-business-recovery-resiliency,NYCEDC,New York City,"Small business owners, Disaster Survivors",,,,,http://www.nycedc.com/service/programs-business-recovery-resiliency,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Restoration Business Acceleration Team (RBAT) ,216,,Assistance for Organizations,Resources for Small Businesses,Small Businesses,"The City of New York has established the NYC Restoration Business Acceleration Team (RBAT) to assist businesses affected by Superstorm Sandy by coordinating the services, permitting and inspections needed to reopen as soon as possible","Services include client management, site visits/inspections, plan examination.",services for small businesses,Contact RBAT by calling (212) 618-8810 or completing and emailing this Superstorm Sandy (http://www.nyc.gov/html/nbat/downloads/pdf/NBAT_Superstorm_Sandy_WebForm.pdf) form to  businesshelp@sbs.nyc.gov,City of New York,New York City,"Small business owners, Disaster Survivors",,,,,http://www.nyc.gov/html/nbat/html/rbat/rbat.shtml,businesshelp@sbs.nyc.gov, (212) 618-8810,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Small Business Services,217,,Assistance for Organizations,Resources for Small Businesses,Small Businesses,"The Department of Small Business Services (SBS) makes it easier for businesses in New York City to form, do business, and grow by providing direct assistance to business owners, fostering 
neighborhood development in commercial districts, and linking employers  to a skilled and qualified workforce.","We'll work with you if you have a new business or if you have been in business for years. We'll answer your questions, 
help you develop a business plan, secure financing, and access City benefits. We'll support your expansion by working with you to locate 
available space, identify money-saving incentive programs, access procurement opportunities, and recruit qualified employees. We'll cut 
the red tape for you by being your liaison when you need to resolve issues with other City agencies.",services for small businesses,Call 311 or visit http://www.nyc.gov/html/sbs/html/business/business.shtml,City of New York,New York City,Small business owners,,,,,http://www.nyc.gov/html/sbs/html/business/business.shtml,,311,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
New York State Small Business Emergency Loan Fund,218,,Financial Assistance,Small Business Financial Assistance,Small Businesses,"Through this Program, businesses that were impacted by Superstorm Sandy, Hurricane Irene or Tropical Storm Lee are eligible for grants of $50,000 or more to help replace physical items such as machinery, moveable equipment, inventory, furniture and fixtures, as well as help with the day to day expenses entrepreneurs need to run their businesses.  Further, the Program is able to provide grants to reimburse businesses that already purchased these physical items to get their business back up and running.  
",,small business loans,"As a first step, businesses should contact their local Small Business Development Center (SBDC) office, where an SBDC business advisor will provide free assistance with  completing the  streamlined application process.   For a list of SBDC locations in your community, please visit http://www.nysandyhelp.ny.gov/sites/default/files/documents/businesscenterlocations.pdf.",New York State,New York State,"Small business owners, Disaster Survivors",,,,"Spanish, Russian",http://esd.ny.gov/StormRecovery.asp,,(697) 855-7263,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"1-855-NYS-SANDY 
(7263)"
Small Business Administration loans ,219,SBA,Financial Assistance,Small Business Financial Assistance,Small Businesses,"SBA provides low-interest disaster loans to homeowners, renters, businesses of all sizes, and most private nonprofit organizations. SBA disaster loans can be used to repair or replace the following items damaged or destroyed in a declared disaster: real estate, personal property, machinery and equipment, and inventory and business assets.",Visit http://www.sba.gov/category/navigation-structure/loans-grants/small-business-loans/disaster-loans,small business loans,Loan applications are here - http://www.sba.gov/category/navigation-structure/loans-grants/small-business-loans/disaster-loans,SBA,United States,"Small business owners, Disaster Survivors",,,,,http://www.sba.gov/category/navigation-structure/loans-grants/small-business-loans/disaster-loans,,( 800) 659-2955; (800) 877-8339,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,, 800-659-2955; TTY 800-877-8339
Seastreak - Rockaway / Brooklyn Army Terminal / Manhattan ferry,220,,Services,Transportation Services,Transportation,"Seastreak operates a ferry service between the Rockaways, the Brooklyn Army Terminal, and Manhattan.",Fares: One Way (All Ages)  $3.50; Ten Trip Ticket Book: $35.00 Traveling between Pier 11 and East 34th St:  Free. See http://www.seastreakusa.com/viewpage.aspx?page=Brooklyn for schedule,ferry service to and from the Rockaways,"Service runs from Beach 108th St. and Beach Channel Dr. in the Rockaways, stops at the new 58th St. landing in the Brooklyn Army Terminal in Sunset Park and continues on to Pier 11 in lower Manhattan and E. 34th St. in midtown.",Seastreak,"Rockaways, Sunset Park, Manhattan","Individuals, Families, Disaster Survivors",,,,,http://www.seastreakusa.com/viewpage.aspx?page=Brooklyn,,,,,$3.50 one way,,,,New York Hurricane Sandy Disaster Recovery Resources,,
American Red Cross - Volunteering,221,,Services,Volunteering,Volunteering,"Volunteers constitute about 95 percent of the American Red Cross 
workforce. Volunteers make it possible to respond to nearly 70,000 
disasters every year.","The following is a list of typical Disaster Volunteer opportunities:
Volunteer Management - Assist with volunteer recruitment, placement, record keeping and recognition; Disaster Services - Provide food, shelter, comfort and home for families affected by major disasters such as fire, hurricanes and tornadoes. Disaster Action Team - Volunteers need to respond to single-family fires with a disaster action team supervisor; Disaster Preparedness Presenter - Educate individuals and groups on how to be prepared before a disaster occurs; Public Affairs - During disasters, tell the Red Cross story to your community.
 
",volunteer opportunities,Visit - http://www.redcross.org/support/volunteer/disaster-volunteer,American Red Cross,United States,Volunteers,,,"520 West 49th Street, New York, NY, 10019",,http://www.redcross.org/support/volunteer/disaster-volunteer,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
New York Cares - Volunteering,222,,Services,Volunteering,Volunteering,New York Cares meets pressing community needs by mobilizing caring New Yorkers in volunteer service.,,volunteer opportunities,To sign up as a volunteer visit http://www.newyorkcares.org/getting-started,New York Cares,United States,Volunteers,,,"65 Broadway, 19th Floor, New York, NY 10006",,http://www.newyorkcares.org/getting-started,,(212) 228-5000; (212) 402-1101,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,General line: 212-228-5000; Project sign-up hotline: 212-402-1101
Occupy Sandy - Volunteering,223,,Services,Volunteering,Volunteering,Occupy Sandy is a coordinated relief effort to distribute resources and volunteers to help neighborhoods and people affected by Hurricane Sandy.,"In the eighteen months since Superstorm Sandy hit the East Coast and forced the entire region to rethink our way of life, people on the front lines of the recovery effort have been working tireless to rebuild and restore hope to the community.",volunteer opportunities,Visit  occupysandy.net/volunteer/ call 347-770-4520 or email OccupySandyVolunteers@gmail.com.,Occupy Sandy,New York City,Volunteers,,,,,occupysandy.net/volunteer/,OccupySandyVolunteers@gmail.com ,(347) 770-4520,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Stephen Siller Tunnel to Towers Foundation - Volunteering,224,,Services,Volunteering,Volunteering,"In response to our community’s tragic loss, the Foundation has worked and continues to work to restore the lives of families devastated by Hurricane Sandy. The Foundation has worked tirelessly with thousands of volunteers to gut houses, provide clean up, and restore damaged homes.  ","Visit http://www.formstack.com/forms/T2T-volunteer to sign up as a volunteer. You will be helping to rebuild a family’s home. This may include hanging insulation or drywall, mudding/spackling, sanding, texturing, priming, painting, laying floors, and/or hanging trim, doors and baseboard. If you have significant experience in any of these areas or in framing, electrical, plumbing and/or cabinetry, please inform the Volunteer Department prior to your arrival so that we can assign you to a specialty team.",volunteer opportunities,"Visit http://www.formstack.com/forms/T2T-volunteer
",Stephen Siller Tunnel to Towers Foundation,Staten Island,Volunteers,Volunteers must be at least 16 years old. Volunteers under the age of 18 must have parental consent.,,"2361 Hylan Boulevard, Staten Island, NY 10306",,http://www.formstack.com/forms/T2T-volunteer,,(718) 987-1931; (718) 980-4766,,"Anthony Navarino,- Hurricane Sandy Relief Coordinator",,,,,New York Hurricane Sandy Disaster Recovery Resources,,
World Cares Center - Volunteering,225,WCC,Services,Volunteering,Volunteering,"World Cares Center  collaborates with community groups, municipalities, and relief agencies to more effectively integrate and utilize community volunteers, to prepare citizens to safely participate in their communities' emergency response, and to foster recovery and resilience in those communities affected by disaster. ",World Cares Center delivers unique educational and resilience‐building services through its Disaster Preparation & Trauma Mitigation program. Debris removal and mold remediation. Administers Volunteer Coordination Centers in the Rockaways and Staten Island focused on coordinating and training volunteers to aid those affected by Superstorm Sandy. WCC partners with numerous grassroots organizations such and is focused currently on muck-out and mold suppression services.,volunteer opportunities,"For Staten Island services, please contact Michelle Bascome at mbascome@worldcares.org.For Rockaways services, please contact Jacob Ley  at jley@worldcares.org.",WCC,"Staten Island, Rockaways",Volunteers,,,"520 8th Ave Suite 210B, New York, NY ",,www.worldcares.org,mbascome@worldcares.org; jley@worldcares.org,(212) 563-7570,,Michelle Bascome; Jacob Ley,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Weatherization Assistance Program ,226,WAP,Services,Weatherization,Weatherization Assistance,"The Weatherization Assistance Program assists income-eligible families and  individuals by reducing their heating and cooling costs and addressing health  and safety issues in their homes through 
energy-efficiency measures. ","WAP providers conduct an assessment, or “energy audit,”  of the 
residence to identify specific measures to increase energy efficiency.  Based on the results of the energy audit, services may 
include, but are not limited to, sealing cracks and holes to  reduce air infiltration; insulation of attics and walls; heating system repairs  
or replacement; hot water tank and pipe insulation; installation of 
energy-efficient  lighting and refrigerators; window and outside door 
repair or replacement;  minor repairs to ensure that the installed 
weatherization materials will  perform correctly; and mitigation of 
energy-related health and safety issues,  including indoor air quality improvements, correction of ventilation problems  that can lead to mold growth, and identification of lead paint hazards.",weatherization for income-eligible families,Individual households apply by contacting the WAP provider that serves their area - http://www.nyshcr.org/Programs/WeatherizationAssistance/Providers.htm,NYSHCR,New York State,"Renters, Homeowners, Low Income","Households with incomes at or below 60% of state median income are eligible  for assistance. Program services are available to both homeowners and renters, with priority  given to senior citizens, families with children, and persons with  disabilities. If a household contains a member who receives Supplemental  Security Income (SSI), Public Assistance, Food Stamps, or Home Energy  Assistance Program (HEAP) benefits, the household is automatically eligible for  WAP services.  Applications are accepted  from renters, homeowners, and rental property owners. Both single-family and  multi-family buildings are assisted.",,,,http://www.nyshcr.org/programs/weatherizationassistance/, weatherization@nyshcr.org,(518) 474-5700 ,,,,,New York State HCR,,New York Hurricane Sandy Disaster Recovery Resources,,
Association for Energy Affordability - Weatherization Assistance Program provider ,227,WAP,Services,Weatherization,Weatherization Assistance,"The Weatherization Assistance Program assists income-eligible families and  individuals by reducing their heating and cooling costs and addressing health  and safety issues in their homes through 
energy-efficiency measures.","WAP providers conduct an assessment, or “energy audit,”  of the 
residence to identify specific measures to increase energy efficiency.  Based on the results of the energy audit, services may 
include, but are not limited to, sealing cracks and holes to  reduce air infiltration; insulation of attics and walls; heating system repairs  
or replacement; hot water tank and pipe insulation; installation of 
energy-efficient  lighting and refrigerators; window and outside door 
repair or replacement;  minor repairs to ensure that the installed 
weatherization materials will  perform correctly; and mitigation of 
energy-related health and safety issues,  including indoor air quality improvements, correction of ventilation problems  that can lead to mold growth, and identification of lead paint hazards.",weatherization for income-eligible families,"Visit http://aea.us.org/efficiency-programs/weatherization-assistant-program.html or contact Francis Rodriguez at 718.292.6733, ext. 211 or frodriguez@aea.us.org.",Association for Energy Affordability,Bronx,"Renters, Homeowners, Low Income","Households with incomes at or below 60% of state median income are eligible  for assistance. Program services are available to both homeowners and renters, with priority  given to senior citizens, families with children, and persons with  disabilities. If a household contains a member who receives Supplemental  Security Income (SSI), Public Assistance, Food Stamps, or Home Energy  Assistance Program (HEAP) benefits, the household is automatically eligible for  WAP services.  Applications are accepted  from renters, homeowners, and rental property owners. Both single-family and  multi-family buildings are assisted.",,"105 Bruckner Boulevard, Bronx, NY 10454",,http://aea.us.org/efficiency-programs/weatherization-assistant-program.html, frodriguez@aea.us.org,(718) 292-6733 ext211,,Francis Rodriguez,,,New York State HCR,,New York Hurricane Sandy Disaster Recovery Resources,,
Bronx Shepherds Restoration Corp. - Weatherization Assistance Program provider ,228,WAP,Services,Weatherization,Weatherization Assistance,"The Weatherization Assistance Program assists income-eligible families and  individuals by reducing their heating and cooling costs and addressing health  and safety issues in their homes through 
energy-efficiency measures.","WAP providers conduct an assessment, or “energy audit,”  of the 
residence to identify specific measures to increase energy efficiency.  Based on the results of the energy audit, services may 
include, but are not limited to, sealing cracks and holes to  reduce air infiltration; insulation of attics and walls; heating system repairs  
or replacement; hot water tank and pipe insulation; installation of 
energy-efficient  lighting and refrigerators; window and outside door 
repair or replacement;  minor repairs to ensure that the installed 
weatherization materials will  perform correctly; and mitigation of 
energy-related health and safety issues,  including indoor air quality improvements, correction of ventilation problems  that can lead to mold growth, and identification of lead paint hazards.",weatherization for income-eligible families,Visit http://www.bronxshepherds.org/weatherization.html to download an application,Bronx Shepherds Restoration Corp,Bronx,"Renters, Homeowners, Low Income","Households with incomes at or below 60% of state median income are eligible  for assistance. Program services are available to both homeowners and renters, with priority  given to senior citizens, families with children, and persons with  disabilities. If a household contains a member who receives Supplemental  Security Income (SSI), Public Assistance, Food Stamps, or Home Energy  Assistance Program (HEAP) benefits, the household is automatically eligible for  WAP services.  Applications are accepted  from renters, homeowners, and rental property owners. Both single-family and  multi-family buildings are assisted.",,"1932 Washington Avenue, Bronx, New York 10457",,http://www.bronxshepherds.org/weatherization.html,,(718) 299-0500,,,,,New York State HCR,,New York Hurricane Sandy Disaster Recovery Resources,,
